,s1,s2,s3,s4,s5,total,obtained,percentage,grade
0,80,83,92,93,92,500,440,88.0,A+
1,85,95,81,89,98,500,448,89.60000000000001,A+
2,85,85,97,80,91,500,438,87.6,A+
3,83,82,90,97,93,500,445,89.0,A+
4,90,95,80,84,92,500,441,88.2,A+
5,88,92,89,93,99,500,461,92.2,A+
6,80,93,87,97,90,500,447,89.4,A+
7,96,96,97,91,85,500,465,93.0,A+
8,83,84,83,96,81,500,427,85.39999999999999,A+
9,94,83,90,87,91,500,445,89.0,A+
10,84,81,88,91,89,500,433,86.6,A+
11,90,80,89,92,84,500,435,87.0,A+
12,97,87,98,83,93,500,458,91.60000000000001,A+
13,88,83,90,92,94,500,447,89.4,A+
14,98,82,89,89,97,500,455,91.0,A+
15,93,87,97,91,81,500,449,89.8,A+
16,85,91,92,95,91,500,454,90.8,A+
17,90,95,87,91,84,500,447,89.4,A+
18,95,95,88,95,95,500,468,93.60000000000001,A+
19,86,97,91,88,96,500,458,91.60000000000001,A+
20,90,82,98,83,92,500,445,89.0,A+
21,93,91,97,85,86,500,452,90.4,A+
22,80,98,85,84,80,500,427,85.39999999999999,A+
23,95,84,97,97,92,500,465,93.0,A+
24,94,82,97,91,89,500,453,90.60000000000001,A+
25,88,90,83,83,83,500,427,85.39999999999999,A+
26,86,82,90,95,94,500,447,89.4,A+
27,94,87,88,92,80,500,441,88.2,A+
28,81,90,89,86,88,500,434,86.8,A+
29,96,85,92,99,94,500,466,93.2,A+
30,89,84,88,99,81,500,441,88.2,A+
31,81,84,85,81,96,500,427,85.39999999999999,A+
32,81,96,90,85,99,500,451,90.2,A+
33,97,97,86,97,90,500,467,93.4,A+
34,95,82,99,84,91,500,451,90.2,A+
35,98,93,99,88,96,500,474,94.8,A+
36,92,87,83,88,80,500,430,86.0,A+
37,93,98,90,99,95,500,475,95.0,A+
38,83,89,92,88,99,500,451,90.2,A+
39,94,93,97,85,98,500,467,93.4,A+
40,80,96,95,94,81,500,446,89.2,A+
41,91,86,99,84,85,500,445,89.0,A+
42,86,89,85,93,89,500,442,88.4,A+
43,81,89,83,90,95,500,438,87.6,A+
44,82,96,95,82,83,500,438,87.6,A+
45,87,88,90,88,97,500,450,90.0,A+
46,97,96,98,93,94,500,478,95.6,A+
47,88,81,97,80,93,500,439,87.8,A+
48,88,96,88,86,99,500,457,91.4,A+
49,82,89,87,94,98,500,450,90.0,A+
50,80,81,85,86,87,500,419,83.8,A+
51,96,80,80,93,87,500,436,87.2,A+
52,83,88,98,99,94,500,462,92.4,A+
53,83,84,94,83,86,500,430,86.0,A+
54,81,97,98,82,83,500,441,88.2,A+
55,94,93,99,90,88,500,464,92.80000000000001,A+
56,86,82,96,95,86,500,445,89.0,A+
57,85,98,96,85,81,500,445,89.0,A+
58,96,96,91,94,84,500,461,92.2,A+
59,91,96,82,97,96,500,462,92.4,A+
60,85,82,95,94,88,500,444,88.8,A+
61,90,87,82,93,92,500,444,88.8,A+
62,80,82,87,91,94,500,434,86.8,A+
63,92,83,99,92,85,500,451,90.2,A+
64,99,82,93,82,98,500,454,90.8,A+
65,81,92,81,97,88,500,439,87.8,A+
66,95,87,86,97,89,500,454,90.8,A+
67,98,93,87,99,92,500,469,93.8,A+
68,85,92,84,93,85,500,439,87.8,A+
69,87,99,87,99,90,500,462,92.4,A+
70,92,90,84,85,88,500,439,87.8,A+
71,87,95,96,97,99,500,474,94.8,A+
72,86,87,91,90,86,500,440,88.0,A+
73,84,80,99,87,80,500,430,86.0,A+
74,82,84,98,92,96,500,452,90.4,A+
75,88,88,91,87,81,500,435,87.0,A+
76,86,82,92,94,91,500,445,89.0,A+
77,95,86,93,80,97,500,451,90.2,A+
78,81,92,84,90,82,500,429,85.8,A+
79,84,97,82,96,89,500,448,89.60000000000001,A+
80,81,98,87,84,97,500,447,89.4,A+
81,85,98,86,89,97,500,455,91.0,A+
82,86,99,80,85,80,500,430,86.0,A+
83,85,91,80,87,85,500,428,85.6,A+
84,88,88,82,98,94,500,450,90.0,A+
85,96,93,91,90,98,500,468,93.60000000000001,A+
86,94,82,92,84,85,500,437,87.4,A+
87,93,82,87,81,96,500,439,87.8,A+
88,82,82,88,80,95,500,427,85.39999999999999,A+
89,99,82,90,98,97,500,466,93.2,A+
90,98,85,93,99,90,500,465,93.0,A+
91,92,87,83,86,81,500,429,85.8,A+
92,97,88,97,99,98,500,479,95.8,A+
93,87,84,83,83,83,500,420,84.0,A+
94,94,95,92,80,97,500,458,91.60000000000001,A+
95,82,81,89,81,89,500,422,84.39999999999999,A+
96,88,92,88,94,85,500,447,89.4,A+
97,81,82,83,81,89,500,416,83.2,A+
98,89,84,90,87,91,500,441,88.2,A+
99,96,96,89,90,82,500,453,90.60000000000001,A+
100,89,96,95,82,94,500,456,91.2,A+
101,83,87,80,80,85,500,415,83.0,A+
102,86,90,92,96,87,500,451,90.2,A+
103,80,80,97,87,88,500,432,86.4,A+
104,93,91,94,91,90,500,459,91.8,A+
105,87,94,89,90,90,500,450,90.0,A+
106,98,89,81,94,95,500,457,91.4,A+
107,97,83,98,91,84,500,453,90.60000000000001,A+
108,90,83,94,92,92,500,451,90.2,A+
109,99,93,80,92,95,500,459,91.8,A+
110,84,80,81,90,93,500,428,85.6,A+
111,93,83,95,97,87,500,455,91.0,A+
112,92,89,87,86,99,500,453,90.60000000000001,A+
113,99,87,80,85,88,500,439,87.8,A+
114,98,81,89,89,84,500,441,88.2,A+
